tag	i	q	k	actual
gamma	294	0.078870	290.598	130
gamma	295	0.080230	295.173	142
gamma	296	0.081750	300.268	162
gamma	297	0.083705	306.794	229
gamma	298	0.085560	312.958	142
gamma	299	0.087000	317.724	146
gamma	300	0.088785	323.609	211
gamma	301	0.090855	330.401	203
gamma	302	0.092335	335.237	93
gamma	303	0.093280	338.315	96
gamma	304	0.094240	341.435	96
gamma	305	0.095160	344.418	88
gamma	306	0.096125	347.540	105
gamma	307	0.097185	350.960	107
gamma	308	0.098135	354.018	83
gamma	309	0.099265	357.646	143
gamma	310	0.101290	364.121	262
gamma	311	0.103690	371.754	218
gamma	312	0.105765	378.315	197
gamma	313	0.107395	383.445	129
gamma	314	0.108910	388.194	174
gamma	315	0.111245	395.478	293
gamma	316	0.113495	402.456	157
gamma	317	0.115455	408.501	235
gamma	318	0.117170	413.765	108
gamma	319	0.118385	417.480	135
gamma	320	0.119900	422.096	168
gamma	321	0.121610	427.284	174
gamma	322	0.123490	432.961	202
gamma	323	0.125720	439.658	244
gamma	324	0.128375	447.579	287
gamma	325	0.131295	456.226	297
gamma	326	0.134420	465.405	328
gamma	327	0.137675	474.882	323
gamma	328	0.140575	483.255	257
gamma	329	0.142720	489.404	172
gamma	330	0.145075	496.113	299
gamma	331	0.148220	505.003	330
gamma	332	0.151145	513.201	255
gamma	333	0.153500	519.751	216
gamma	334	0.155365	524.907	157
gamma	335	0.156865	529.033	143
gamma	336	0.158155	532.568	115
gamma	337	0.159205	535.435	95
gamma	338	0.160200	538.144	104
gamma	339	0.161540	541.779	164
gamma	340	0.164585	549.987	445
gamma	341	0.167895	558.825	217
gamma	342	0.171090	567.273	422
gamma	343	0.174130	575.235	186
gamma	344	0.176970	582.606	382
gamma	345	0.180635	592.024	351
gamma	346	0.185095	603.339	541
gamma	347	0.189760	615.005	392
gamma	348	0.192825	622.574	221
gamma	349	0.195110	628.168	236
gamma	350	0.198250	635.788	392
gamma	351	0.202040	644.879	366
gamma	352	0.204825	651.487	191
gamma	353	0.206850	656.252	214
gamma	354	0.211025	665.974	621
gamma	355	0.216010	677.399	376
gamma	356	0.219235	684.684	269
gamma	357	0.222065	691.009	297
gamma	358	0.225200	697.940	330
gamma	359	0.228935	706.095	417
gamma	360	0.233445	715.794	485
gamma	361	0.238655	726.795	557
gamma	362	0.244075	738.010	527
gamma	363	0.248800	747.594	418
gamma	364	0.253340	756.635	490
gamma	365	0.257775	765.308	397
gamma	366	0.260695	770.932	187
gamma	367	0.262730	774.812	220
gamma	368	0.264940	778.987	222
gamma	369	0.267190	783.198	228
gamma	370	0.269450	787.387	224
gamma	371	0.271945	791.964	275
gamma	372	0.275045	797.581	345
gamma	373	0.279010	804.654	448
gamma	374	0.283685	812.831	487
gamma	375	0.288410	820.919	458
gamma	376	0.294180	830.553	696
gamma	377	0.299190	838.701	306
gamma	378	0.303495	845.543	555
gamma	379	0.308870	853.877	520
gamma	380	0.313980	861.586	502
gamma	381	0.317860	867.300	274
gamma	382	0.320495	871.112	253
gamma	383	0.322885	874.521	225
gamma	384	0.326090	879.021	416
gamma	385	0.329290	883.432	224
gamma	386	0.331910	886.983	300
gamma	387	0.335455	891.700	409
gamma	388	0.339475	896.927	395
gamma	389	0.343365	901.862	383
gamma	390	0.346880	906.217	320
gamma	391	0.349670	909.604	238
gamma	392	0.352870	913.411	402
gamma	393	0.357205	918.438	465
gamma	394	0.361275	923.021	349
gamma	395	0.364985	927.084	393
gamma	396	0.368810	931.157	372
gamma	397	0.372415	934.888	349
gamma	398	0.375615	938.113	291
gamma	399	0.378530	940.980	292
gamma	400	0.381990	944.295	400
gamma	401	0.386355	948.339	473
gamma	402	0.391310	952.746	518
gamma	403	0.396265	956.956	473
gamma	404	0.401095	960.871	493
gamma	405	0.405735	964.456	435
gamma	406	0.410300	967.816	478
gamma	407	0.414685	970.885	399
gamma	408	0.418415	973.376	347
gamma	409	0.423320	976.481	634
gamma	410	0.428075	979.307	317
gamma	411	0.431040	980.978	276
gamma	412	0.434060	982.608	328
gamma	413	0.437425	984.337	345
gamma	414	0.441470	986.297	464
gamma	415	0.445270	988.019	296
gamma	416	0.448525	989.401	355
gamma	417	0.452060	990.807	352
gamma	418	0.455885	992.215	413
gamma	419	0.460290	993.692	468
gamma	420	0.465195	995.154	513
gamma	421	0.470365	996.487	521
gamma	422	0.476305	997.754	667
gamma	423	0.481370	998.612	346
gamma	424	0.487515	999.376	883
gamma	425	0.494390	999.874	492
gamma	426	0.499085	999.997	447
gamma	427	0.503445	999.953	425
gamma	428	0.508060	999.740	498
gamma	429	0.512910	999.333	472
gamma	430	0.519625	998.459	871
gamma	431	0.526765	997.135	557
gamma	432	0.531895	995.931	469
gamma	433	0.535385	994.992	229
gamma	434	0.538080	994.200	310
gamma	435	0.541330	993.167	340
gamma	436	0.545260	991.806	446
gamma	437	0.550240	989.904	550
gamma	438	0.555780	987.554	558
gamma	439	0.561335	984.952	553
gamma	440	0.566930	982.082	566
gamma	441	0.571935	979.301	435
gamma	442	0.576080	976.847	394
gamma	443	0.579895	974.467	369
gamma	444	0.584940	971.141	640
gamma	445	0.589885	967.683	349
gamma	446	0.593510	965.024	376
gamma	447	0.598615	961.100	645
gamma	448	0.604520	956.302	536
gamma	449	0.610515	951.146	663
gamma	450	0.615465	946.671	327
gamma	451	0.620725	941.702	725
gamma	452	0.626610	935.880	452
gamma	453	0.630895	931.466	405
gamma	454	0.636570	925.395	730
gamma	455	0.643160	918.021	588
gamma	456	0.647745	912.686	329
gamma	457	0.652875	906.517	697
gamma	458	0.658285	899.783	385
gamma	459	0.662260	894.687	410
gamma	460	0.666485	889.131	435
gamma	461	0.670965	883.084	461
gamma	462	0.675165	877.269	379
gamma	463	0.678870	872.022	362
gamma	464	0.682405	866.914	345
gamma	465	0.687760	858.985	726
gamma	466	0.693310	850.525	384
gamma	467	0.697260	844.354	406
gamma	468	0.701160	838.139	374
gamma	469	0.704455	832.793	285
gamma	470	0.708205	826.603	465
gamma	471	0.713100	818.354	514
gamma	472	0.717430	810.897	352
gamma	473	0.720980	804.671	358
gamma	474	0.724600	798.219	366
gamma	475	0.728050	791.973	324
gamma	476	0.731325	785.955	331
gamma	477	0.734325	780.367	269
gamma	478	0.738565	772.347	579
gamma	479	0.744325	761.221	573
gamma	480	0.749080	751.837	378
gamma	481	0.753145	743.670	435
gamma	482	0.757135	735.526	363
gamma	483	0.760550	728.455	320
gamma	484	0.763695	721.860	309
gamma	485	0.766145	716.667	181
gamma	486	0.768020	712.661	194
gamma	487	0.770500	707.319	302
gamma	488	0.773015	701.851	201
gamma	489	0.775740	695.870	344
gamma	490	0.779070	688.480	322
gamma	491	0.783320	678.919	528
gamma	492	0.787330	669.766	274
gamma	493	0.790115	663.333	283
gamma	494	0.793095	656.381	313
gamma	495	0.796125	649.240	293
gamma	496	0.799330	641.606	348
gamma	497	0.802840	633.152	354
gamma	498	0.806410	624.452	360
gamma	499	0.809335	617.247	225
gamma	500	0.812380	609.675	384
gamma	501	0.815605	601.574	261
gamma	502	0.818410	594.460	300
gamma	503	0.821465	586.641	311
gamma	504	0.824545	578.682	305
gamma	505	0.827470	571.054	280
gamma	506	0.829780	564.981	182
gamma	507	0.833185	555.951	499
gamma	508	0.837905	543.281	445
gamma	509	0.841450	533.648	264
gamma	510	0.843905	526.917	227
gamma	511	0.846135	520.762	219
gamma	512	0.848275	514.818	209
gamma	513	0.849900	510.280	116
gamma	514	0.850975	507.266	99
gamma	515	0.852345	503.412	175
gamma	516	0.853825	499.231	121
gamma	517	0.855320	494.991	178
gamma	518	0.857180	489.690	194
gamma	519	0.859210	483.873	212
gamma	520	0.861900	476.114	326
gamma	521	0.864600	468.267	214
gamma	522	0.866570	462.506	180
gamma	523	0.868365	457.229	179
gamma	524	0.871025	449.362	353
gamma	525	0.873430	442.200	128
gamma	526	0.875430	436.209	272
gamma	527	0.877725	429.295	187
gamma	528	0.879580	423.676	184
gamma	529	0.881535	417.724	207
gamma	530	0.883680	411.159	222
gamma	531	0.885865	404.433	215
gamma	532	0.887825	398.367	177
gamma	533	0.889605	392.832	179
gamma	534	0.891300	387.537	160
gamma	535	0.893385	380.993	257
gamma	536	0.896015	372.688	269
gamma	537	0.897960	366.511	120
gamma	538	0.899790	360.672	246
gamma	539	0.901830	354.131	162
gamma	540	0.903520	348.686	176
gamma	541	0.905300	342.928	180
gamma	542	0.906745	338.234	109
gamma	543	0.907940	334.340	130
gamma	544	0.909385	329.616	159
gamma	545	0.911020	324.250	168
gamma	546	0.912525	319.292	133
gamma	547	0.913745	315.260	111
gamma	548	0.914745	311.946	89
gamma	549	0.915895	308.125	141
gamma	550	0.917250	303.610	130
gamma	551	0.918575	299.180	135
gamma	552	0.919790	295.105	108
gamma	553	0.921430	289.587	220
gamma	554	0.923705	281.896	235
gamma	555	0.925405	276.122	105
gamma	556	0.926810	271.333	176
gamma	557	0.928700	264.865	202
gamma	558	0.930180	259.781	94
gamma	559	0.931555	255.041	181
gamma	560	0.933080	249.767	124
gamma	561	0.934885	243.500	237
gamma	562	0.936665	237.295	119
gamma	563	0.937690	233.710	86
gamma	564	0.938780	229.888	132
gamma	565	0.939875	226.040	87
gamma	566	0.940890	222.464	116
gamma	567	0.941955	218.703	97
gamma	568	0.942995	215.022	111
gamma	569	0.944140	210.959	118
gamma	570	0.945210	207.152	96
gamma	571	0.946230	203.515	108
gamma	572	0.947165	200.174	79
gamma	573	0.947945	197.381	77
gamma	574	0.948625	194.942	59
gamma	575	0.949305	192.500	77
gamma	576	0.949995	190.018	61
gamma	577	0.950750	187.298	90
gamma	578	0.951635	184.103	87
gamma	579	0.952615	180.559	109
gamma	580	0.953685	176.680	105
gamma	581	0.954620	173.283	82
gamma	582	0.955840	168.840	162
gamma	583	0.957000	164.604	70
gamma	584	0.957585	162.464	47
gamma	585	0.958050	160.761	46
gamma	586	0.958760	158.157	96
gamma	587	0.959730	154.593	98
gamma	588	0.960540	151.612	64
gamma	589	0.961145	149.381	57
gamma	590	0.961790	147.000	72
gamma	591	0.962510	144.338	72
gamma	592	0.963090	142.191	44
gamma	593	0.963570	140.411	52
gamma	594	0.964245	137.906	83
gamma	595	0.965190	134.393	106
gamma	596	0.966140	130.854	84
gamma	597	0.966920	127.943	72
gamma	598	0.967635	125.270	71
gamma	599	0.968195	123.174	41
gamma	600	0.968580	121.731	36
gamma	601	0.969125	119.687	73
gamma	602	0.969935	116.644	89
gamma	603	0.970780	113.465	80
gamma	604	0.971580	110.449	80
gamma	605	0.972315	107.674	67
gamma	606	0.972855	105.633	41
gamma	607	0.973255	104.119	39
gamma	608	0.973625	102.717	35
gamma	609	0.974005	101.277	41
gamma	610	0.974395	99.798	37
gamma	611	0.974790	98.298	42
gamma	612	0.975245	96.569	49
gamma	613	0.975710	94.800	44
gamma	614	0.976170	93.049	48
gamma	615	0.976660	91.181	50
gamma	616	0.977320	88.662	82
gamma	617	0.977965	86.198	47
gamma	618	0.978500	84.151	60
gamma	619	0.978940	82.466	28
gamma	620	0.979235	81.335	31
gamma	621	0.979575	80.031	37
gamma	622	0.980080	78.093	64
gamma	623	0.980580	76.171	36
gamma	624	0.980935	74.806	35
gamma	625	0.981220	73.709	22
gamma	626	0.981550	72.438	44
gamma	627	0.982000	70.704	46
gamma	628	0.982460	68.929	46
gamma	629	0.983010	66.805	64
gamma	630	0.983420	65.220	18
gamma	631	0.983715	64.079	41
gamma	632	0.984125	62.492	41
gamma	633	0.984585	60.710	51
gamma	634	0.985030	58.984	38
gamma	635	0.985415	57.489	39
gamma	636	0.985840	55.838	46
gamma	637	0.986205	54.419	27
gamma	638	0.986510	53.232	34
gamma	639	0.986885	51.772	41
gamma	640	0.987325	50.057	47
gamma	641	0.987695	48.614	27
gamma	642	0.988005	47.404	35
gamma	643	0.988365	45.999	37
gamma	644	0.988710	44.650	32
gamma	645	0.989040	43.360	34
gamma	646	0.989290	42.381	16
gamma	647	0.989460	41.716	18
gamma	648	0.989670	40.893	24
gamma	649	0.989900	39.992	22
gamma	650	0.990115	39.149	21
gamma	651	0.990300	38.424	16
gamma	652	0.990485	37.698	21
gamma	653	0.990685	36.913	19
gamma	654	0.990850	36.265	14
gamma	655	0.991065	35.421	29
gamma	656	0.991300	34.497	18
gamma	657	0.991470	33.829	16
gamma	658	0.991695	32.944	29
gamma	659	0.991990	31.783	30
gamma	660	0.992255	30.740	23
gamma	661	0.992435	30.031	13
gamma	662	0.992600	29.381	20
gamma	663	0.992815	28.534	23
gamma	664	0.992990	27.843	12
gamma	665	0.993110	27.370	12
gamma	666	0.993295	26.640	25
gamma	667	0.993425	26.127	1
gamma	668	0.993520	25.752	18
gamma	669	0.993710	25.002	20
gamma	670	0.993855	24.429	9
gamma	671	0.993970	23.975	14
gamma	672	0.994090	23.500	10
gamma	673	0.994185	23.125	9
gamma	674	0.994275	22.769	9
gamma	675	0.994385	22.334	13
gamma	676	0.994530	21.760	16
gamma	677	0.994680	21.167	14
gamma	678	0.994830	20.573	16
gamma	679	0.994950	20.098	8
gamma	680	0.995080	19.583	18
gamma	681	0.995190	19.147	4
gamma	682	0.995285	18.771	15
gamma	683	0.995410	18.276	10
gamma	684	0.995490	17.959	6
gamma	685	0.995530	17.800	2
gamma	686	0.995605	17.503	13
gamma	687	0.995730	17.007	12
gamma	688	0.995845	16.551	11
gamma	689	0.995935	16.194	7
gamma	690	0.996015	15.876	9
gamma	691	0.996100	15.539	8
gamma	692	0.996145	15.361	1
gamma	693	0.996170	15.261	4
gamma	694	0.996210	15.103	4
gamma	695	0.996270	14.864	8
gamma	696	0.996370	14.467	12
gamma	697	0.996465	14.090	7
gamma	698	0.996540	13.792	8
gamma	699	0.996630	13.435	10
gamma	700	0.996715	13.097	7
gamma	701	0.996770	12.878	4
gamma	702	0.996815	12.699	5
gamma	703	0.996875	12.461	7
gamma	704	0.996925	12.262	3
gamma	705	0.996965	12.103	5
gamma	706	0.997010	11.924	4
gamma	707	0.997045	11.785	3
gamma	708	0.997100	11.566	8
gamma	709	0.997160	11.328	4
gamma	710	0.997210	11.129	6
gamma	711	0.997275	10.870	7
gamma	712	0.997350	10.572	8
gamma	713	0.997425	10.273	7
gamma	714	0.997500	9.975	8
gamma	715	0.997555	9.756	3
gamma	716	0.997590	9.617	4
gamma	717	0.997645	9.398	7
gamma	718	0.997685	9.239	1
gamma	719	0.997715	9.119	5
gamma	720	0.997775	8.880	7
gamma	721	0.997835	8.641	5
gamma	722	0.997880	8.462	4
gamma	723	0.997915	8.323	3
gamma	724	0.997955	8.163	5
gamma	725	0.997995	8.004	3
gamma	726	0.998040	7.825	6
gamma	727	0.998090	7.625	4
gamma	728	0.998140	7.426	6
gamma	729	0.998190	7.227	4
gamma	730	0.998230	7.067	4
gamma	731	0.998265	6.928	3
gamma	732	0.998295	6.808	3
gamma	733	0.998320	6.709	2
gamma	734	0.998350	6.589	4
gamma	735	0.998385	6.450	3
gamma	736	0.998420	6.310	4
gamma	737	0.998465	6.131	5
gamma	738	0.998505	5.971	3
gamma	739	0.998530	5.871	2
gamma	740	0.998560	5.752	4
gamma	741	0.998595	5.612	3
gamma	742	0.998615	5.532	1
gamma	743	0.998630	5.472	2
gamma	744	0.998645	5.413	1
gamma	745	0.998665	5.333	3
gamma	746	0.998695	5.213	3
gamma	747	0.998725	5.093	3
gamma	748	0.998760	4.954	4
gamma	749	0.998795	4.814	3
gamma	750	0.998815	4.734	1
gamma	751	0.998830	4.675	2
gamma	752	0.998850	4.595	2
gamma	753	0.998875	4.495	3
gamma	754	0.998900	4.395	2
gamma	755	0.998915	4.335	1
gamma	756	0.998925	4.295	1
gamma	757	0.998935	4.255	1
gamma	758	0.998960	4.156	4
gamma	759	0.998985	4.056	1
gamma	760	0.999005	3.976	3
gamma	761	0.999025	3.896	1
gamma	762	0.999045	3.816	3
gamma	763	0.999075	3.697	3
gamma	764	0.999100	3.597	2
gamma	765	0.999120	3.517	2
gamma	766	0.999135	3.457	1
gamma	767	0.999145	3.417	1
gamma	768	0.999160	3.357	2
gamma	769	0.999175	3.297	1
gamma	770	0.999190	3.237	2
gamma	771	0.999205	3.177	1
gamma	772	0.999220	3.118	2
gamma	773	0.999235	3.058	1
gamma	774	0.999245	3.018	1
gamma	775	0.999260	2.958	2
gamma	776	0.999275	2.898	1
gamma	777	0.999285	2.858	1
gamma	778	0.999295	2.818	1
gamma	779	0.999305	2.778	1
gamma	780	0.999320	2.718	2
gamma	781	0.999340	2.638	2
gamma	782	0.999360	2.558	2
gamma	783	0.999375	2.498	1
gamma	784	0.999385	2.458	1
gamma	785	0.999395	2.419	1
gamma	786	0.999405	2.379	1
gamma	787	0.999420	2.319	2
gamma	788	0.999435	2.259	1
gamma	789	0.999445	2.219	1
gamma	790	0.999455	2.179	1
gamma	791	0.999465	2.139	1
gamma	792	0.999475	2.099	1
gamma	793	0.999485	2.059	1
gamma	794	0.999495	2.019	1
gamma	795	0.999505	1.979	1
gamma	796	0.999515	1.939	1
gamma	797	0.999525	1.899	1
gamma	798	0.999535	1.859	1
gamma	799	0.999545	1.819	1
gamma	800	0.999555	1.779	1
gamma	801	0.999565	1.739	1
gamma	802	0.999575	1.699	1
gamma	803	0.999585	1.659	1
gamma	804	0.999595	1.619	1
gamma	805	0.999605	1.579	1
gamma	806	0.999615	1.539	1
gamma	807	0.999625	1.499	1
gamma	808	0.999635	1.459	1
gamma	809	0.999645	1.419	1
gamma	810	0.999655	1.380	1
gamma	811	0.999665	1.340	1
gamma	812	0.999675	1.300	1
gamma	813	0.999685	1.260	1
gamma	814	0.999695	1.220	1
gamma	815	0.999705	1.180	1
gamma	816	0.999715	1.140	1
gamma	817	0.999725	1.100	1
gamma	818	0.999735	1.060	1
gamma	819	0.999745	1.020	1
gamma	820	0.999755	0.980	1
gamma	821	0.999765	0.940	1
